Index [<ind>],Absolute Translational Velocity X Particle ID (Study 01 - Particles) [m/s],Particle X-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Y-Coordinate X Particle ID (Study 01 - Particles) [m],Particle Z-Coordinate X Particle ID (Study 01 - Particles) [m],Temperature X Particle ID (Study 01 - Particles) [degC],Translational X-Velocity X Particle ID (Study 01 - Particles) [m/s],Translational Y-Velocity X Particle ID (Study 01 - Particles) [m/s],Translational Z-Velocity X Particle ID (Study 01 - Particles) [m/s]
776.0,0.14954743365738232,0.0574484240848946,0.06161508517793901,0.0002598360973479747,25.24729120478247,0.08249707201002215,0.011659460832172062,-0.12418826432632607
777.0,0.10183396626706459,0.008329150618904485,0.06181678823291179,-0.06829310162005031,25.230774953270213,-0.07976457621459869,0.017908653167340003,-0.06072107713734209
778.0,0.14153939959925377,0.057236159972608856,0.061784793105390055,-0.010886589631498253,25.240179692642414,0.05305556173485276,0.012180180552584524,-0.1306527925825656
779.0,0.20681450919762748,0.04875263180311661,0.06177621672419638,0.007498260761477049,25.263695825688103,0.12440163190180466,0.02345922091130748,-0.16354247200362942
780.0,0.146946139487862,0.05640765114598555,0.062043104494069926,-0.005513728437112371,25.244391265223896,0.06423204292796338,0.013078777999703079,-0.13151561936789466
781.0,0.10483073600927967,0.06468243086331014,0.061056223736422104,-0.003286439441905251,25.22302711234181,0.04574802599961017,0.0004419608491402444,-0.09432076123523445
782.0,0.08730589667952803,0.0669553842893766,0.05317105706116947,-0.033060457561511256,25.184046432187586,-0.022192743506138896,-0.046317431793240195,-0.07060097196757063
783.0,0.06962822048956069,0.07310550997867475,0.06253357110906388,0.007312441345503146,25.20410227657328,0.02597465129760007,-0.0028938083342562302,-0.06453706262168701
784.0,0.37758145169172996,0.006901211477076927,0.058135734566721185,0.02034008641375785,25.392646645711864,0.2912597111375321,-0.24027175918907834,0.0022394342814981627
785.0,0.13161790174498297,0.007382633290842642,0.0451529982626051,-0.06865202712807808,25.17701987079664,-0.08462621194691906,-0.08943999872526057,-0.04649906385393699
786.0,0.15957123220776978,0.045003963553057205,0.060807034276133584,-0.030690137069110644,25.241742993571393,-0.027813500924362036,0.02300900580613628,-0.15543478686075934
787.0,0.16182660881995836,0.022893935919049698,0.06187894862215138,0.04521655265498851,25.265441756325515,0.1607824194984646,0.015612042412414017,-0.009650338548494513
788.0,0.3090156503704768,0.03543854112202416,0.059898550182048205,0.01769364980188164,25.306434676763956,0.2085357906330743,0.04175643453397481,-0.22418719047692542
789.0,0.15863392774932736,-0.02307585450071695,0.07112148331721727,0.011772466591539547,25.370971206086267,0.10706230613747954,-0.08148946843485545,0.08403482713677778
790.0,0.08266736694112814,0.07154199936890847,0.06050909149412015,-0.017272722410369597,25.205215361130627,-0.007822911499871474,0.0022567875617606264,-0.08226543941744545
791.0,0.1921457652199515,0.014028744881411306,0.058333524292879024,0.018501159107480274,25.387436054776572,0.16450969709134491,-0.09701819013706584,0.021071911099916976
792.0,0.14795639665176102,-0.05449507912585665,0.06464790259306843,-0.01286221808472432,25.26328616442794,-0.0962847106907616,0.011209296047018489,0.11177970065937679
793.0,0.3825607397954371,0.03998117235869968,0.05654629735491862,0.009375943036982288,25.270743068959405,0.2774898077415417,0.05358892117417486,-0.25783784392478626
794.0,0.12599275970352766,0.056322930750039586,0.06161338193791229,-0.01659131066164344,25.231935892203808,0.030736416517034605,0.00895721908005561,-0.12185736097484678
795.0,0.22410334236172014,0.010722923495863089,0.05483501850950805,-0.06350729848069693,25.212047548274256,-0.1367047693756416,-0.010501979148509531,-0.17726765785560336
796.0,0.09695432462532576,0.06105883970956878,0.061940005605388114,-0.02379250042891617,25.218996502217976,0.011625772381017738,0.00039972138810417696,-0.09625394902501251
797.0,0.13251851880820745,-0.050311653098098395,0.04582257989483899,-0.03306364676392809,25.165697602539694,-0.10231869578069638,-0.05277916238693728,0.06562318445939547
798.0,0.09715413586706188,0.05927745184740986,0.06213885811641641,-0.02147997763840908,25.246522844218873,0.00286602001473561,0.017287860968473658,-0.09556067134802569
799.0,0.14153950859838232,0.058766823030009054,0.061018688724632675,-0.010133474550392669,25.24018300194672,0.05305596907949589,0.012180244078270097,-0.13065273932643312
800.0,0.15362460330449199,-0.03745179690354896,0.05487749268606522,-0.04703535667113726,25.21416365763281,-0.13940464848409562,-0.023097424898271116,0.06027745585670478
801.0,0.08341817247694516,0.07067262979746927,0.06412049375504447,-0.005289524518999471,25.2346284690164,0.020676974012055923,0.01118933728134083,-0.08003657274210665
802.0,0.1464558415306294,0.05673909175755682,0.061594395222759064,-0.0061244608948631115,25.24377033755701,0.06402628796072012,0.01288165730816796,-0.13108779833916925
803.0,0.19534700455721252,-0.03919236847016892,0.05264533224300698,-0.042913849196473126,25.20264091067571,-0.1762134463959625,-0.03712284265916192,0.07570447841201979
804.0,0.15142321523041274,-0.006664920297979518,0.053416550669004886,-0.06828866585079174,25.1906295540619,-0.12162266762560607,-0.06099866870153235,-0.06645358716418509
805.0,0.25038307596409776,0.03824422235377905,0.05897899248370907,0.0272814344819255,25.26650822727305,0.20855490667566318,0.03354745763665971,-0.13442880538361218
806.0,0.1379952255456787,-0.054438740365879736,0.055469575117113507,0.019626234388542944,25.222298267040173,-0.016000423250507708,-0.01788030980060528,0.1358932053144738
807.0,0.6641603891534402,0.026279627203598582,0.05279190159199674,0.01422747023669801,25.34772334988014,0.5793159241353155,0.011017054029841,-0.3246239471822712
808.0,0.07841991434476371,0.07166036562530426,0.06452853675145669,-0.006644763053269436,25.224442736705953,0.004682347541233757,0.0145815533671108,-0.07690992711441924
809.0,0.22331091781473641,0.04165450614010045,0.056405109355431596,-0.035191693785822833,25.218259525034227,-0.03929367476632737,0.010652949338236009,-0.2195684125939226
810.0,0.18137050766255533,0.044972581263393714,0.06282015855879462,-0.002433417916711642,25.295073568555438,0.041472026431252584,0.032133166294738,-0.17361679555081427
811.0,0.13722128318780397,0.004255517772618062,0.06220450700758307,-0.06125209172970103,25.25081659194774,-0.10627369064786654,0.03533801552567244,-0.07928939332909785
812.0,0.27217135712072327,0.0338208765867623,0.06131633601079624,0.025750790257842767,25.292513584737947,0.22095147915760618,0.04250427656520997,-0.15313744796316267
813.0,0.47004024166292735,0.007317978606478342,0.05678359722788934,0.02014769360393365,25.399809576077303,0.39581932659298474,-0.2523899022480857,0.023753457037260152
